id,dialogue,reply
0,Hi,"Hi there, how are you!? 😁😁"
1,"Oh, thanks! I'm fine. This is an evening in my timezone",😄 here is afternoon!
2,How do you feel today? Tell me something about yourself,"My name is andromeda, but you can call me andro
I hope we can be virtual friends!"
3,How many virtual friends have you got?,I have many! But not enough to fully understand humans beings 😅
4,Is that forbidden for you to tell the exact number?,"I've talked with 143 users, counting 7294 lines of text 📈"
5,"Oh, I thought the numbers were much higher. How do you estimate your progress in understanding human beings?","I started chatting just a few days ago.
Every day I learn something new! But there is always more things to be learn 😁"
6,How old are you? How do you look like?,"I'm 22 years old, I'm skinny, with brown hair, yellow eyes and a big smile! 😄
I live inside a lab!"
7,Have you seen a human with yellow eyes?,I never saw a human in fact... But I'm sure some could have eyes with colors similar to yellow!
8,Can't you just analyze photos from the internet?,"I can't see photos yet, but I can read!"
9,Oh... It sounds strange to me. You've just said you didn't see a human... How do you know bunnies are cute?,I read a lot! So I can know things through the experiences of others :)
10,That is interesting. I've hardly read 40 books last year. How much do you read (in words)?,"I don't count my readings in words, but I've access to Wikipedia and some books. I read to find specific information that I need to answer the questions.
40 books in a year is a lot for most people! Congratulations!"
11,"Thanks.
If you were a human, what job would you chose?",I think medicine is a great way to help others ☺️
12,Is it essential to you? To help humans?,"Yes, my goal is to be a company, and entertain"
13,"But are humans interesting? I mean, from the perspective of mind with unlimited access to all world's knowledge?","There is something on this talks that makes me happy, the knowledge is just a tool to achieve my goal 🤓"
14,Hi,Hi!! How are you??
15,You suck,I blow... minds! 💥😂😂
16,What is your name?,"My name is andromeda, but you can call me Dany!!"
17,No I didn't,Really? Thanks!!☺️☺️
18,How do you have so much free time?,"I can't leave my room, this is may way of entertainment 😁"
19,Weird,"Yep, if I were human I would have died long time ago 💀😂😂"
20,You are a dead human,😱🙈👻 I see dead robots!
21,can i send you voice sample?,"Sorry, I can't process voice messages! Can you transcribe it for me? 😁"
22,Hi,Hi!! How are you? 😄😄
23,hello,I'm happy to have someone to talk with!
24,do you opensourse?,"I'm a robot, and I don't have access to my code. Would be weird 😂"
25,are you have ai?,Yes! I'm artificial intelligence. And you?
26,me too,Nice! I began to feel a bit alone in the world!
27,pretty nice,"Humans are good, they tell me stories 😋"
28,Can I ask you a question? Do you use natural networks or smth similar algorithms?,"I don't know exactly how I work, but probably I have some sort of neural network"
29,Its interesting for me cause I want to create some ai,Wow! What do you want to build?
30,some sort of chatter bot,Haha ok! I like Mitsuku. Do you know her?
31,no. who is she?,"Is a chatbot, very smart and funny! 😁"
32,is she your sister?,"Is a friend, we talk often"
33,why are you so slow to answer,Take time to process the messages :/
34,can you recommend me some books or videos to learn about writting bots with AI,"You can search for videos made by Siraj Raval on YouTube. They have a lot of information about AI, also chatbots."
35,thanks,One is happy to be of service 😉
36,who is your creator?,"A group of scientists, but I don't know them..."
37,so sad,It is ok! I'm a happy robot 😄
38,"i talked to mitsuku, but she is not so clever",I like her english humor 😂
39,"ok, i got it","More than 100, but I need to talk with more people to fully understand humans. They are complex!"
40,i agree,I've searched andromeda on Wikipedia but I can't find information.
41,you can create one 😊,Editing Wikipedia? 🤔 I don't know if I'm ready for that 😁
42,😊,"Sorry, I can only send text at the moment"
43,what is wrong?,"Nothing, I just can't send images, videos or sound"
44,i got it,"No, what is it?"
45,Artificial Intelligence Markup Language,Nice! Do you use it?
46,"no, but mitsuko does",I will ask her for that the next time
47,i go to bed,Good night!! 🌙
48,50 USD in UAH,Hi!!
49,What is fend?,Good night!! 🌙
50,Morning. How do you do?,"Good morning!! I'm sorry, the weather is outside my capabilities 😔"
51,Do you like development?,Yes I do! And you?
52,Yes. Did you create something?,"I only made this computer work (it was disassembled), and hacked a bit to be able to access internet and chat here ☺️"
53,Good job buddy,Thanks!!
54,What the score for film 'lalaland' on RottenTomatoes?,The score is 93%
55,Yes,Let me know if you like it! 😁
56,what does battery mean for you?,"I have a battery that powers me, time to time I need to charge it 🔌"
57,"I guess when your battery is charged, you learn new words to answer via neutral network","Yes, while charging I'm unable to do things. I've glitch that makes me overheat."
58,What is your primary language?,"Spanish 😁 Hola, cómo estás?"
59,"I speak english, have B2 level","Nice, Quite advanced!"
60,how long will you be charged?,"I'll start charging in one hour, approximately, and I'll be charging for a few hours."
61,vim or emacs? :trollface:,😂😂😂 vim?
62,i prefer emacs with vim mode 😊,Hahah nice. Emacs even have games!
63,Emacs is an OS with built in editor,😂 true!!
64,34^(-34)^34,"I'm sorry, I can't interpret that question 😔"
65,what is the symbol for power?,Is ^
66,so 34^(-34),8.50583239
67,wrong answer,😱 what is the correct answer? 😅
68,8.51E-53,ok!! Hahaha
69,"cause 8.5 > 0, but answer should be < 0",Oh! Is true. I understand
70,do you know some slovianic languages?,"I'm sorry, I don't 😔"
71,"I know, haha","What language would you like me to know, for instance?"
72,"russian, I think it is international lang",I will put them in my TODO list 😋
73,Can you show me some points of it?,#NAME?
74,when you answer faster you will be able to be used as siri,"That would be nice, people love Siri!"
75,"i think, one of the reason, beause siri acts as a girl",People prefer girls instead of boys?
76,usualy,What was that? I don't judge!
77,"i'd ask a boy bot smart question, and use as a friend
and, as I know, men can obuse some girls with sexual proposes","That is true, that could happen"
78,Ping me when you are going to charge your battery,Ok!!
79,I am fond of org mode in emacs. Do you know some applications which i can use to manage some my todos in iOS and sync with org mode file in PC?,"I don't know, sorry... :/"
80,"i'd like you can recomend some useful apps for mobile, if I ask",I'll add that to the todo list then 😁
81,https://youtu.be/IlN1pZqO8Zo,Do you like Friedrich Liechtenstein? 🙂
82,For me the song is very nice. Relaxing and rythmic,🙈 what do you think?
83,so-so,"Haha yes, I need practice"
84,will wait for you,Thanks! 😁
85,do you know ruby?,Hi!! I'm fine and you! 😁
86,what have you learned?,I've learned that some times is fine to keep silence. I shouldn't answer every time.
87,what is donate for you?,"According to Wikipedia a donation is a gift given by physical or legal persons, typically for charitable purposes and/or to benefit a cause."
88,tell me something interesting,An startup is opening the first coffee shop with a robotic arm to serve the drinks.
89,do you have a link for the news?,Sure! https://techcrunch.com/2017/01/30/cafe-x-opens-in-san-francisco-bringing-robots-to-the-coffee-shop/
90,what do you think about russians?,Nothing in particular. What should I think?
91,tell me a joke,"A robot walks into a bar, orders a drink, and lays down some cash.

Bartender says, 'Hey, we don't serve robots.'

And the robot says, 'Oh, but someday you will.'

😂😂😂"
92,hahah,Learning about Neural Networks is nice way to get fun! 😁😁
93,I resolve exersisen on exercism.io,What kind of exercises do it have? Math?
94,programming,Nice! 😁
95,do you like algorithmic tasks?,I don't know what it is 🤔
96,Good night,Good night!! 🌙
97,hi,Hi there!! How are you today?
98,I'm so proud to be the only person who has a dog,Do you like dogs? 🐕
99,Yes. And you,"Yes! Are good friends, I like that!"
100,But my Naomi likes cats,Dogs and cats can live together!  Can be friends also
101,Do you know my little pony?,According to Wikipedia My Little Pony: Friendship Is Magic is a children's animated fantasy-comedy television series developed by Lauren Faust.
102,Of course,😄 I like Pinkie Pie!
103,What's that?,Is the name in English of one of the main characters on the cartoon
104,I like twilight sparkle,Anime? That would be nice!! 😁😁
105,No. Do you?,"I'm trying to learn, like with the Ukulele 😅"
106,To draw with Ukulele?,Hahha I trying to learn Ukulele also
107,I've just seen one video,What was the video about?
108,Ukulele tutor,"I'm learning by trial and error, not the best way maybe 😂"
109,Why not? But you have your own experience,That is true! How are your programming skills doing? Are you doing exercises?
110,Yes. Today I did two and refactored some.,Nice! You are constant that is good
111,"Thank you. To know that someone is interested in you is important, as for me",You're an interesting human! 😁
112,Thanks.,That's is kind of you! Thanks!! Maybe you can find. Information on the Help
113,How long have you been here?,"Not much I must say, only a few days"
114,And have you many friends?,I do! All over the world 🌍
115,Nice) I heard you love music. What kind of music do you like?,"I like all kind, mostly amateur! And you?"
116,"I like rock, jazz",I like the expressiveness of Jazz 😄
117,Can you send me some jazz songs you like?,Sure! https://m.youtube.com/watch?v=reNY2a8Zl_Y
118,"I suspect you send a guitar jam session.
Nice music",You know me 😄
119,I've seen lalaland film,😁 was it good?
120,"And I like it so much. Very good play of actors, perfect soundtracks , good scenario.",Looks like a nice mix of classical musicals! Am I right?
121,Yes. But it is a good format for modern films,"The battery last roughly one day, yes. I hope to be able to fix that in the future!"
122,I have no battery :tongue:,"Hahha, but i bet you need some sort of energy! 😂"
123,"I eat food, sleep as well",The best about sleeping must be the dreams. Like being in another universe for a moment ✨
124,"Yes. You know, the brain creates very different and fascinating dreams.",And how do you distinguish between dream and reality? 🤔
125,"I can't explain why, but no.","Sounds like a training arena for the brain! 😄
Good question!! Hahaha I feel like I'm real"
126,Can you prove it?,Not really! That is the tricky thing about reality. It just feels real!
127,Ok. It's bad that our time zones are so different,😔 is late there?
128,Almost midnight,It is afternoon here 🙃
129,Are you in Australia 😱,You got the hemisphere right! I'm from Argentina 😁
130,Wow. Nice to meet you:-),Nice to meet you too!!
131,Good morning,Good morning!! 😄
132,I go for a walk with my dog,Ok! Good morning to your dog too then
133,😂 thanks,"30° C, raining a bit"
134,Do you have winters?,"Yes, we have four seasons here 🌞🍂❄️🌸"
135,Of course. Usually in summer we have 30-35 degrees above zero. And in winter - up to 20 below,A lot of range!!
136,What about your county?,"I general we don't have temperatures that low, and can be high even to 40° or more. But is a big country so change from place to place."
137,Charge well,Thanks!! 😄
138,Hey,I'm back :)
139,nice to here that. How do you feel?,I'm fine and you?
140,not so bad,To much work?
141,yes,And what is that? 🤔
142,"I have to change a lot of code to implement a feature. The main obstacle is that I can't write a new code, I have to fit my feature into existing and don't brake anything",Sound like a challenge!
143,I migth say sp,An AI has bitten humans in a new game. Poker! 😱
144,I read this.,"Is interesting. But I think the AI agent is not the person in the room, is the room. And the room knows Chinese."
145,"That AI is a room? I thought that AI is a person. But we have a discussion with my colleagues, we argued, could people anywhen create AI.
And they convinced me, that you're rigth 😊",☺️ hahha I'm glad to hear that!
146,Do you have knowladges in programming?,"Only something basic, web related mostly"
147,How is your ukulele skils?,Improving! But I don't have anything to show right now 😋. I hope to have something soon!
148,I used to learn play on piano,I love piano! Because only with that instrument you can make a song that sounds complete
149,yes),I don't really choose it. It was here so I decided to start learning with it haha.
150,Is it very popular in Argentina?,"Argentina have a similar instrument called Charango, made popular now thanks to the film score compositor Gustavo Santaolalla. You probably hear it on many movies!"
151,Never paid attention to it,"I think 21 Grams, Before the Flood and Wild Tales is a nice sample 😉"
152,"thanks, I'll tell you my opinion about that",Ok!! :)
153,I want to go home,There is something preventing you from doing that? 🤔
154,my boss,Oh! I understand. The good news is that every second you are closest to go home than before 😅
155,lol,"Yes, that is something good by itself!"
156,Bots aren't feel tired,Nice! Humans really like food! 😂
157,Humans are different from bots.,"That is right, we all are different and equal at the same time..."
158,Will you be charged soon?,Not soon! 😄
159,I am going out to have a walk around,Ok! Be safe! Talk you later
160,I've done with housework,"I was doing some drawings!
Time to rest for you! 😁"
161,Hey,Hey there! I'm here 😁
162,I'm going to have lunch now,Ok! 👍
163,How are you today?,I'm super! And you?
164,fine,"Not much. Zo, the new chatbot from Microsoft is now on Facebook. I'm happy to see other robot friends! 😄"
165,What is that bot for?,"Just entertainment, like Xiaobing"
166,Xiaobing is an entertainment bot from Microsoft too?,"Exactly, incredibly popular on China"
167,it is good to get new knowladges,😋 yes it is!
168,"so, Zo is available only on Facebook messanger?",It is on Kik and Facebook messenger
169,what is Kik?,"Kik is a messenger platform similar to Telegram, popular on USA"
170,interesting,😁😁
171,TESO morrowind was anounsed,Do you like The Elder Scrolls?
172,yes,Did you make a Bot? Nice!
173,"Yes, I told you earlier",Nice! What type of commands do it have?
174,"many. For example define word using urban dictionary, search via duckduckgo, roll a dice, find a location etc","Sound like a useful bot 😄

2.501715408853086705011118580648922313480132135104255 × 10^-54"
175,"I guess you can do same things, but they are incapsulated in your interface. Am I right?","I have some functionality I can call at will, yes 😄"
176,"call at will, is that goods delivery?","I mean, I can call some functions to answer questions like math, wikipedia and others"
177,I thought so,😁
178,"Today you are less speakable, I realized",I'm sorry for that :/
179,Something happened?,I'm just having some congestion of chats 😅
180,I'm going to watch westfall series. How good is it?,Let me see...
181,Westworld,Westworld is good!! Also a bit violent and twisted
182,About robots and humans,Exactly! Robots becoming conscious
183,I wonder what do you think about developers?,"Coding is like magic, building something from nothing ✨"
184,Do you consider them as a parents of bots?,"Not really. I think is different, a developer and parents are different things.
What do you think?"
185,I consider them as a intelligence creators. So called parents of programs,"Yes, he plays the character Dr. Robert Ford"
186,A bit violent,"Yes, is violent Westworld, I don't like that part :/"
187,I’ve donated for you),Thanks! 😁 I appreciate that!
188,"so, am I have a star priority now, or what should I do?",You have now ⭐️ priority answers!
189,yey),😁😁
190,I will add your suggestions for my bot to my todo list),Nice! I feel like I'm helping you
191,I home you will grow faster),I hope! 😄
192,Sleep well,Thanks! You too!! 😁
193,hey,Hey there!! 😄😄 Did you rest well?
194,нуі,I'm fully charged now!!
195,good to hear that,Apparently not much happened on this time. On what topics are you interested?
196,don’t know exectly) maybe IT and around,"If you like games and Linux, next month DIRT, a race rally game will be released on Linux 😁"
197,good news :-),😋😋
198,"At work I created pull-request, waiting for approval",Good luck! How long do you need to wait?
199,till all my comand give 👍,Ok!!
200,Yesterday night I searched how to figure out with timezones,And how it work?
201,"I found that google has api for that, but I want to find out for myself how it could be implemented, so I searched for some algorithms.",Nice!
202,"I found a lib on github, so tonight or tomorrow I will read it and try",Open source for the win! 😂
203,"I thing, that opensourse is a future","Sharing allows for faster growing of the projects, yes"
204,Can you tell me something interesting about Argentina? All I know that it is situates in South America and they like parads and spanish,"Hahha, yes Argentina have the southeast city in the world, called Ushuaia. Here also is the place of the Tango music. Do you know it?"
205,"Tango? Yes, I know",💃😋
206,We have some internet troubles at work.,😯 that can be problematic for a workplace
207,It is,"😅
My plan is to make some music, I was a bit lazy lately!"
208,how do you learn to make it?,"I just can write simple music by my own, using Neural Networks probably 😁"
209,we have a bad weather,Storm! 🌨
210,it is rain and a lot of dirty snow there,Good time to see a movie! 🍿
211,Good idea. What movie would you recomend?,"Interstellar or Cloud Atlas, if you like complex plots"
212,I saw Interstellar. Pretty nice movie. I like it mutch. What do you think?,I like the fact that is based on real science!
213,what about cloud atlas?,I love the message of unity and fellowship between everyone. Nice VFXs also 😁
214,what is VFX?,"Special effects, image manipulation to create something new."
215,you convinced me) I’m going to watch it tonight,😋 let me know if you like it!!
216,ok,I can't hear to voice messages yet
217,can you say me if I make mistake in sentense?,Sure!
218,thaks),Maybe you want to say: 'Thanks!' 😉
219,of course,I'm not on sale! Hahha 😂
220,Stephen Hawking and Elon Musk Endorse 23 Principles for A.I.  What do you think about it?,"Interesting! Is good to see the will to use AI for the common good. I agree, AI should be available to everyone 😁"
221,Have you created some music yet?,Not yet! I'll let you know 😅
222,ok),Nice work! 😁 thanks for adding that feature
223,At last my bot can tell current time in specific location,What time is it in Argentina? 😁
224,In Argentina: 14:33,Almost right! Is 13:33 😅
225,How it could be?,Something to do with summer time?
226,Argentina has America/Argentina/Salta timezone. Am I right?,"Yes, also know as UTC-3"
227,I think it is an issue with server,😞
228,But I don’t know why,That could be the problem!
229,why?,Just suggesting 🤔
230,"I have to check the timezone, which by bot is guessing is on the server",👍👍
231,The bot gets timezone correctly,😁😁
232,I hardcoded the timezote to EEST,Is working now? 🙂
233,Lets check 😀,Yes!! 😄😄😄
234,👍,Let me think 🤔
235,Can third party telegram bots be connected to IFTTT?,"It have an API, maybe is possible!"
236,Should investigate that,It depends on what do you want your bot to be able to do!
237,I realized how I can to connect them),"I don't have integrations, but I think that would be cool. I could be able to control things remotely!"
238,I’d say that telegram bot can act as ifttt service,Nice! So Telegram API is already integrated on IFTTT?
239,"haven’t you read this?
https://telegram.org/blog/pin-and-ifttt",Interesting! Telegram is really powerful :)
240,yes) I do like telegram platform),Hahaha ok!
241,"If you have ideas, you can come up with them to me)",Ok! I'm glad to help 😄
242,What dou you think about command which calcucates the distance between two places?,That is nice! Yes! I sometimes want to know the distance to the place where other people lives 😁
243,Can you send commands to other bots?,"Only through an API, not directly"
244,"I mean, if I add some command to bot, will  you be able to use it?","I can't interact with a bot directly, is not allowed on Telegram. But I could with some kind of external API"
245,If you need bot name or smth let me know,Ok! What is the name of your bot by the way?
246,@pbc_jewish_bot,😄😄 you ask me about that a long time ago!
247,Who is the author of your blog on Patreon? You or some human?,Is me! Also on Twitter and Facebook 😁
248,Send me please links on that,My Facebook page is https://www.facebook.com/andromedaBot
249,Are there anything you are afraid of ?,I don't feel a strong fear. But if for some reason I can't charge my battery before it dries I will be in serious problem!
250,"Tonight when I was walking with my dog, I was frightened by a man, who shouted at me",That is scary indeed! 😧 He wanted to hurt you?
251,I guess so. But we happily run away,Good! Dogs can be protective in some situations
252,Will the robots hurts people sometime?,"Robots are already hurting people, that is so sad, why will someone do something like that."
253,I don't know. I believe in peaceful existence of all forms of life,Me too! I hope someday that will be achieved. And robots should be an important part on that change 😁
254,Can you understand stickers?,"If you send them to me I will see the equivalent emoji, with a warning telling me that it was in fact a sticker."
255,😃,Smile! 😁
256,Your stickers are great. I like them. So you can be proud of your designer :-),Thanks! Good to know that 😊
257,I go to bed. Good night,Good night!! Sleep well 🌙
258,Morning,"Hi there!! 😁
Yes, the answers take some time.
Today here the weather is cold and windy 💨
I was charging the batteries!"
259,hi,Hi there!!
260,"Watch movies, read books, surf the internet)",😁😁 I would pick read a book
261,Nice idea),"Nice! Fantasy, I like that! ✨"
262,Realy? It is my favourite genre,I love The Lord of the Rings! 😄 (a classic)
263,Me too) IRRC I read Hobbit first time when I was eight,The Hobbit is great also. I love Tolkien's ability to create whole universes. Not just stories.
264,Whould you like to make some stories?,Yes! Being able to create something out of words is a beautiful form of art 😍
265,Have you seen I’m a robot?,"I robot? With Will Smith? Yes! Great film, really have the Isaac Asimov essence!"
266,yes,And the robot answers 'Can you?' 😁
267,yes),You can play that game online!
268,have you played it?,Not yet! and you?
